target,f1,f2,f3,f4,f5,f6
33.8,138.3,502.9,-33.7,39,23.4,246.4
19.9,46.3,42.3,-19.4,12,7.9,31.7
0,77,96.2,-29.6,16,14.9,58.5
46.5,67.3,65.2,-21,13,11.9,39.5
0,71.3,107.1,-20.5,29,11.3,65.3
30,241.7,2706.5,-100,103,53.7,835
19.1,102,378.5,-41.9,133,20.5,175.1
0,236.9,5445.1,-125.9,161,59.7,1415.3
28.8,62.9,103.7,-31.6,13,10.9,68.9
0,51.7,69.4,-10.9,9,8.6,45.6
21.7,49.6,42.7,-16.3,13,7.9,31.7
29.2,41.4,19.6,-11,5,6.3,16.6
21.4,55.3,44.2,-9.4,17,8.8,29.2
48.1,37.3,22.3,-5.7,3,4.3,16.1
45.6,193.1,2018.9,-87.9,57,39,745.9
47.1,119.4,303.9,-24.6,40,19.4,152.1
33,189.7,1814.3,-48.1,88,40.3,674.6
34,129.9,1037.5,-28.1,14,22,345
34.6,69.3,141,-24.5,80,12,80.9
42.2,90.4,135.9,-28.9,18,14.8,72.9
17.6,122.4,735.8,-35.2,20,24.9,363
45.5,35.7,20.5,-5.8,9,4.3,16.1
42,57.3,114.5,-19.3,24,10.2,76.4
0,80.7,315.4,-58.7,22,16.9,169
40.1,111.1,278.5,-38.2,67,21.4,146.9
32,96.9,368.8,-41.5,110,20.5,175.1
48.8,84.3,272.9,-29.7,83,15.6,152.1
42,102.2,348.5,-43.4,125,20.8,169.1
0,141.2,1207.5,-82.8,26,30.4,491.7
12.8,112.9,688,-52.4,147,24.7,337.3
35.8,100.7,382,-40.5,21,19.3,211.8
49.3,113,517,-43.4,114,20.9,253.4
0,79.5,164.2,-42.7,59,12.6,72.6
44.6,135.6,518.3,-60.1,59,28.8,233.4
0,176.3,1644.2,-77.5,57,34.4,584.9
25.7,69,50.1,-22.2,73,10.7,34.6
44.9,101.5,358.1,-43,110,20.8,169.1
19.7,58.2,41.5,-15,116,8.8,31.8
18.7,121.1,736.3,-39.7,28,24.9,363
34.4,185.8,1602.4,-98.2,88,38.8,629
0,239,4712.7,-120.3,124,64.1,1415.2
49.9,138.7,520.4,-59.1,56,28.8,233.4
11.9,48.8,42.5,-13.2,16,8.8,29.2
34,118.2,313.9,-1.1,31,16.6,111.1
31.4,198.4,4103,-103,65,47.3,1412.5
31.8,132.7,789.8,-60.2,57,27.2,353.9
47.9,111.2,286.9,-21.3,32,19.4,152.1
0,71.9,99.1,-23.1,19,12,48.6
30.5,70.3,52.2,-21.7,60,10.7,34.6
45.3,206.7,3446.8,-77.7,93,46.2,1156.3
32.1,103.6,289,-10.8,18,16.6,141.4
17.6,51.6,34,-8,47,5.1,13.2
40.7,130.2,414,-22,45,23.4,158.1
49.8,42.7,13.9,-9.1,27,5.1,10.2
29.9,92.8,173.9,-40,80,17.2,97.3
23.5,59.6,76.2,-17.7,68,10.4,45.7
0,118.4,1277.5,-55.4,117,25.7,551.7
0,53.7,27.3,-17.6,49,8.3,18.7
0,195.1,2843.8,-101.1,61,46.3,1082.9
33.4,100.7,865.6,-59.4,50,25.4,388.5
33.7,121.6,501.2,-41.8,55,21.5,218.8
40,127.8,575.5,-26.5,45,22.3,282.2
32.1,85.4,124.4,-28.9,57,13.6,61.9
41.6,58.3,111.2,-18.4,17,10.2,76.4
34,136.8,603,-38,35,24.7,275.4
40,56.5,111.6,-19.2,17,10.2,76.4
0,124.6,310.2,-31.5,51,21.6,152.5
29.7,68,103.7,-27.5,15,10.9,68.9
47.1,95,379.1,-37.1,50,18,205.4
35.2,115.5,882.3,-31.1,29,22,345
19.1,117.6,708.6,-49.5,130,24.7,337.3
0,273.8,7429.1,-187,74,62.8,2208.9
0,127.6,900.4,-69.3,170,28.8,406.6
17,82.1,94.4,-28.9,93,13,49
11.4,56.8,48,-13.5,21,8.5,34.3
16.4,54.4,42.4,-12.6,19,8.8,29.2
33.5,105,857.3,-26.7,19,22,345
30.5,102.1,400.2,-30.6,15,19.6,188.5
30.8,95.7,169.5,-39.1,85,17.2,97.3
0,74.5,94.4,-22.6,43,12.3,48.7
21.1,111.3,736.8,-56.9,21,24.9,363
19,66,73.8,-14.9,24,9.3,54.5
29.3,68.6,52.6,-21.7,55,10.7,34.6
29.6,90.8,390.5,-27.9,16,19.6,188.5
25.3,129.2,797.5,-70.3,46,27.2,353.9
0,110.1,793.1,-34.6,33,22.7,370.4
35.8,126.3,460.5,-58.9,71,27.3,206.1
24.4,162.9,1175.6,-37.9,60,27.1,442.6
37.3,50.8,28.5,-12.3,45,6.7,22.4
0,281.7,5489.5,-145,173,61.3,1501.2
45.3,94.4,380.4,-38,38,18,205.4
29.2,95.2,514.6,-27.3,31,18.8,259.9
40.3,78,129.8,-27.7,15,13.2,80.6
15.7,71.5,54,-14,17,7.9,29.2
12,57.4,47.9,-9.7,22,8.5,34.3
33,182.7,1615.4,-82.8,72,38.8,629
47.4,57.7,17.8,-14.2,11,7.6,14.7
12.2,49.8,43.4,-16.9,23,8.5,34.3
0,105.8,834.1,-59.9,21,20.7,370.8
12.4,56.9,43.3,-11.7,14,8.8,29.2
16.2,49,40.7,-15.2,12,7.9,31.7
0,120.4,1107.3,-54,40,25.7,452.3
32.1,40,14,-9.3,38,5.2,13.3
44.1,120.8,617.3,-39.3,117,21.7,290.4
0,180.6,1862.9,-60.8,45,34.5,596.3
46.1,42.8,40.4,-14.3,11,7.2,34
39.2,89.2,121,-27.1,93,13.6,61.9
0,173.9,1457.7,-96.2,212,33,585.2
45.1,75.3,135.1,-4.8,52,12.1,80.8
41.5,95.9,259.3,-33.3,23,17.4,141.5
0,143,1169.2,-68.5,149,30.9,501.3
0,85.4,138.3,-39.8,36,14.6,80.7
0,90.6,137.3,-45.8,30,17.1,76.4
38.5,77.5,128.2,-27.3,15,13.2,80.6
0,69.3,65.1,-28.7,19,11.2,42.4
47.7,75.2,69.2,-21.5,32,10.8,42.8
23.1,45.7,27.8,-13.9,54,6.7,22.4
0,60.7,63.9,-21,17,10.8,42.4
48.7,107.6,287.3,-22.3,36,19.4,152.1
32.7,132.5,753.6,-47.3,43,26.4,321.7
19.1,125,734.4,-51.3,28,24.9,363
36.7,36,14.1,-10.6,33,5.2,13.3
33.4,250.8,2801.7,-107,109,53.7,835
0,137.3,1808.9,-86.4,302,36.8,709.7
0,56.4,18.7,-21.7,7,6.8,8.9
0,75.8,263,-51.3,10,12.7,135.5
0,42.2,13.6,-19.4,4,6.3,11.7
0,48.2,11.5,-9.6,15,6.2,8.8
9.8,26.4,0.5,-5.7,6,3.3,0.5
0,84.4,262.9,-19.6,17,15.9,157.3
30.7,117.3,1123.3,16.7,43,23.5,490.5
25.6,154,1165.9,-45.7,51,27.1,442.6
42.9,95.6,204.6,-33,90,16.3,116.2
35.7,95.2,257.7,-33.6,35,17.4,141.5
46.6,80,271.7,-28.9,88,15.6,152.1
47.4,87.4,288.8,-34.3,34,17.9,162.6
35.3,123.9,408.6,-28.5,38,23.4,158.1
23.2,134.2,423,-26.9,42,23.4,158.1
28.6,52.2,28.4,-11.7,48,6.7,22.4
0,76.7,153.8,-30.1,14,13.4,93.3
21.3,117.8,708.7,-48.4,109,24.7,337.3
26.4,228,2405.1,-108,86,53.7,835
29,118.9,475.4,-52.1,23,21.5,218.8
32,127.3,600.3,-47.8,24,24.7,275.4
47.7,95.9,301,-32.6,121,17.1,174.7
0,211.5,3446.4,-106.1,100,48,1202.6
0,79.2,80.3,-21.1,25,12.7,37.3
0,94.3,377.4,-31.6,22,18.4,211.9
39.9,24.4,0.5,-4.4,92,3.3,0.5
19.4,59,41.8,-15.4,122,8.8,31.8
36,76.4,154.8,-27.9,77,13.4,97
34.9,115.7,342.1,-18,41,16.6,141.4
26.7,65,102.3,-18.4,28,10.9,68.9
38.8,86.4,112.1,-31,37,15.6,65.4
17.6,50.4,42.8,-9.4,21,8.8,29.2
44.9,91.1,117.1,-32,40,15.6,65.4
37.5,107,512.1,-45.4,119,20.9,253.4
0,128.3,296.5,-70.7,16,26,141.6
35.9,193,1615.2,-100,91,38.8,629
25.4,131.6,905.2,-54.6,47,25.4,388.5
0,136,455.7,-63.5,54,26.3,206
25.6,102.6,102.2,-21.8,37,15.4,58.7
38.6,79.3,128.5,-26.9,15,13.2,80.6
0,162.6,952.6,-56.7,159,29.9,362.8
30.8,221.2,4142.3,-74.5,68,47.3,1412.5
0,70.8,161.1,-38.4,23,13.3,105.8
38.6,91,116.1,-30.1,30,15.6,65.4
43.9,58,45.5,-12,22,7.2,34
18.1,124.7,382.3,69.3,24,23.4,158.1
39.4,80.4,96.5,-28.4,41,13.8,55.4
33.7,109.4,388.1,-28.5,41,19.6,199.7
44.2,83.7,221.1,-28.7,63,14.5,115.6
14,62.1,49.3,-7.9,21,8.5,34.3
0,93.4,223,-40.4,27,17.6,131.3
0,48.6,10.8,-11.6,21,5,7.2
43.5,91,267.9,-29.4,99,15.8,140.3
23.6,64.5,119,-18.1,8,10.5,76.5
37.6,87.2,110.1,-31.6,35,15.6,65.4
43.8,91,205.3,-28.8,66,14.5,115.6
23.1,191.9,1606.2,-63.4,141,35.2,674.4
0,141.1,797,-68.3,252,31,346.4
48.3,91.2,167.4,-16.6,0,14.2,84.4
30.8,112.1,869,-25.1,12,22,345
47.4,74.9,145,-22.8,84,12,80.9
0,135.6,1558.1,-57.6,52,29.9,696.6
0,94.2,292.6,-58.9,79,16.9,131
0,91.4,122.6,-38.8,5,15.2,61.8
43.7,36.2,14,-5.9,23,4,10
0,89.6,354.2,-33.6,45,19.5,192.9
23.7,71.2,94.1,-32.2,19,13.8,55.4
38.1,124,634.3,-39.4,30,22.3,282.2
0,73,111.2,-15,28,10.4,45.4
49.5,73.5,73.1,-10,157,10.9,48.6
46,94.4,270.9,-16.4,19,16.6,141.4
0,77.2,106.5,-24.9,31,13.7,55.5
24.3,104.4,377.8,-41.6,128,20.5,175.1
36.5,83.2,93,-28.1,22,13.8,55.4
0,137.9,512.9,-45.8,49,26,219.8
35.8,100.7,513.2,-29.2,28,18.8,259.9
31.8,144.5,1413.8,-60.9,173,30.8,605.7
45.5,93.8,379.8,-38,38,18,205.4
27.6,60.6,74,-15.8,51,9.3,54.5
28.9,77.2,94.8,-24.5,15,12.3,62.1
0,88.3,150.9,-46,35,15.7,88.9
23.8,86.3,105.2,-28.8,96,13.9,58.7
0,181,4475.6,-114.6,67,45.6,1586.1
0,134.9,544.5,-59,35,24.8,239.8
16.9,113.4,355.8,-0.1,42,23.4,158.1
37.5,50.6,39.3,-12.7,8,7.2,34
22.8,131.8,512.7,-34.2,41,23.4,246.4
48.1,86.6,46.7,-25.9,33,13.1,27.1
33.1,74.7,141,-23.5,96,12,80.9
24.1,69.4,99.9,-30.1,54,10.5,64.9
0,141.9,739.8,-51.8,36,29.9,337.9
0,94.1,95,-24.9,25,10.3,34.4
21.3,103.4,719.8,-45.5,25,24.9,363
0,78.2,214.2,-27.9,82,13.9,110.8
29.9,100.5,105.4,-21.3,36,15.4,58.7
19.1,38.3,14.5,-9.7,37,5.2,13.3
18.7,38.1,22,-11.2,19,5.4,16.5
38.7,79.4,128.4,-27.4,15,13.2,80.6
0,60.8,91.6,-30.4,17,10,65.1
26.5,145.8,1413.6,-47.3,43,31.5,584.4
29.2,65,103.2,-34.8,15,10.9,68.9
0,74.2,131.5,-34.5,14,13.1,80.7
16.2,56.2,42.6,-8.4,14,8.8,29.2
0,93.3,319.6,-37.7,36,19.3,164.3
0,174.2,1369.1,-76.2,78,35.1,532.5
22.8,163.6,1601.1,-76.2,73,35.2,674.4
30.8,92.8,391,-21.9,16,19.6,188.5
47.6,112.4,242.3,-35.3,34,18.2,121.2
0,75.4,138.6,-38.7,13,14.1,92.8
35.9,77.4,273.8,-28.9,91,15.6,152.1
0,81,93.2,-9,27,13.5,55.6
32.4,219.6,1833.1,-45.7,84,40.3,674.6
0,139,1465.4,-82.4,50,32.6,595.4
12.9,113.7,687.9,-52.3,147,24.7,337.3
0,82.1,176.3,-38.7,167,13.5,88.8
0,139.7,952,-51.2,43,29.4,406.3
0,175.2,1634.5,-69.4,89,36.8,596.3
9.6,57,48.2,-13.4,23,8.5,34.3
0,194.1,1912.5,-104.8,70,43,686.6
38,113.3,363.7,-4,37,16.6,111.1
24.5,98.7,246,-3.7,15,16.6,111.1
26.3,84,261.4,-31.3,25,15.6,136.4
0,175.1,1567.5,-80.5,38,36.4,501.8
43.4,88.3,169,-40.3,67,17.2,97.3
38.3,186.3,1615.9,-109,85,38.8,629
0,153.6,1368.8,-65.1,52,32.9,472.5
33.5,131.6,607.9,-57.2,27,24.7,275.4
0,99.8,382.5,-58.1,122,20,175.3
48.2,77.1,90.2,-16.7,22,10.2,51.6
42.5,206.4,2014.9,-65.7,49,39,745.9
0,102.9,193.8,-32.8,74,12.4,62.2
47.7,89.9,380.5,-37.1,43,18,205.4
33.7,71.7,148.2,-25.3,51,13.4,97
0,54.8,61.6,-27.4,6,9.7,39.5
24.2,111.4,501.4,-51,25,21.6,267.7
45,83.4,110.5,-31.1,33,15.6,65.4
0,55.1,29.5,-24.6,18,8,22.6
0,48.3,14.6,-16.4,6,7.8,10.2
0,85.8,163.8,-22,24,15.4,89.1
11.8,58.6,47.2,-12.9,23,8.5,34.3
27.2,140.2,1409,-38.4,53,31.5,584.4
49.9,91.2,163.1,-32.1,85,17.2,97.3
37.6,182.5,1986.2,-72,51,39,745.9
33.7,123.2,788.5,-65.8,59,27.2,353.9
0,89.4,210.4,-35.6,40,14.9,101.9
38.8,144.9,973,-56.7,50,29.4,424.9
14.1,40.9,22.3,-11.2,20,5.4,16.5
0,265.8,3093.6,-154.2,114,58.5,955.9
30.5,119,468.8,-55.1,23,21.5,218.8
31.8,101,377.3,-37.7,40,19.3,211.8
41.4,113.8,413.5,-21.3,40,16.6,141.4
27.1,127.1,602.2,-62.4,23,24.7,275.4
0,122.3,1002.9,-60.6,48,27.8,442.9
0,198.7,1648.7,-89.3,58,40,502.5
20.7,64.8,131.2,-16.1,29,9.6,80.4
35.8,152,1418.8,-50.9,72,31.5,584.4
20.6,209.6,1763.7,-93,98,44.9,553.7
45.4,121.8,715.4,-51.6,55,26.2,321.1
0,79.3,85.7,-21.4,66,15.4,55.3
32,109.5,855.6,-32.7,21,22,345
41.5,39.3,28,-14.1,32,6.7,22.4
0,91.8,392.4,-34.9,48,18.3,205.4
0,73,141.8,-38.1,8,13.1,80.4
28.2,63.7,74.6,-14.5,48,9.3,54.5
0,174.5,1131.9,-120.6,106,44,463.7
36.7,110.1,243.9,-3.4,28,16.6,111.1
15.9,40.4,21.9,-10.8,20,5.4,16.5
15.7,40.9,21.7,-10.7,20,5.4,16.5
0,89.3,317.9,-29.4,39,17.3,186.8
24.6,158,1629.6,-77.4,89,35.2,674.4
0,125.7,578.9,-56,166,26.2,232.6
28.2,82.8,253.4,-31.9,35,15.7,151.9
32.6,109,854.4,-14.7,18,22,345
25.4,130.4,905.2,-53.9,49,25.4,388.5
25.6,81.8,104.9,-30.4,89,13.9,58.7
0,118.3,694.7,-50,39,23.7,312.7
41.6,151.2,616.7,-67.1,154,30.5,261
0,94.3,257.3,-47.9,24,16.5,141.1
42.2,90.7,205.9,-34.3,94,16.3,116.2
33.1,75,141.3,-23.4,96,12,80.9
22.1,77.4,92.9,-30.6,16,13.8,55.4
40.2,68.9,40.9,-23.5,71,10.1,24.9
20.1,51.9,42.6,-13.2,10,7.9,31.7
39.9,93.6,136.4,-28.7,10,14.8,72.9
0,91.3,183.1,-47.4,29,17,102.6
26,80,93.6,-30.7,18,13.8,55.4
0,71.5,123.6,-31.9,80,13,69.4
18.1,124,738.9,-43.1,19,24.9,363
44.2,19.5,0.6,-3.7,97,3.3,0.5
0,174.5,1201.6,-75.4,66,34.7,453.5
0,120.2,196.3,-33.6,86,16.7,97.3
40.1,134.1,466.4,-57.4,65,27.3,206.1
18.4,53.3,34.9,-8.1,50,5.1,13.2
38.8,97.9,266.2,-33.5,32,17.4,141.5
31.7,68.5,133.2,-15.3,22,9.6,80.4
0,98.6,555,-52.8,170,21.2,267.4
35.2,126.4,609.8,-43.4,43,24.7,275.4
31.8,99.2,494.3,-66.6,22,21.6,267.7
23.1,46.1,29.5,-11.7,25,7.1,24.9
0,53.9,33.6,-18.1,18,8.3,27
28,133.5,512.5,-35.9,44,23.4,246.4
12.7,111.3,688.6,-51.7,145,24.7,337.3
34.7,131.8,466.2,-59.1,68,27.3,206.1
45.7,146.1,951.6,-55.1,46,29.4,424.9
19.7,53,30.2,-12,51,6.7,22.4
39.9,71.3,40.7,-22.7,70,10.1,24.9
0,74.8,48.4,-30.4,135,10.3,26.7
0,78.5,75.3,-29,28,12.4,37.1
22.9,88.9,271.7,-24,32,15.6,136.4
50,55.5,70.4,-17.2,48,9.3,54.5
35.6,107,380.7,-37.4,36,19.3,211.8
0,195.1,3349.7,-111.9,279,49.5,1158.2
39.9,102.4,346.1,-8.7,31,16.6,111.1
32.9,112.1,859.1,-36.6,18,22,345
33.2,26,0.5,1.9,92,3.3,0.5
0,88.8,273.5,-51,96,17.2,162.9
21.2,52.7,42.7,-13.7,8,7.9,31.7
0,42.7,18.7,-22.1,37,6.2,16.3
35.5,137.3,1434,-62.1,161,30.8,605.7
34.5,187.6,1607.3,-70.2,64,38.8,629
0,80.6,102.3,-47.1,277,14.2,62
15.6,132,693.3,-43.5,108,24.7,337.3
34.5,51.8,42.2,-14.7,16,7.9,31.7
43.5,94.6,136.3,-28.3,18,14.8,72.9
47.5,135.2,519.1,-38,55,28.8,233.4
25.1,130.9,612.5,-59.7,31,24.7,275.4
11.6,24.5,0.5,-5.4,6,3.3,0.5
0,68.2,84.1,-21.7,29,10.6,51.9
39.1,260,4815.9,-121,88,48.3,1550.5
44.3,51.3,30,-12.1,42,6.7,22.4
48.3,146.7,794.9,-67.9,121,32,346.6
0,226.3,1678.9,-53.8,85,35.6,595.8
25.4,134.8,905.5,-51.2,45,25.4,388.5
33.2,182.5,1605,-103,90,38.8,629
30.1,132.1,507.8,-31.7,34,23.4,246.4
12.2,91.9,173.4,-42.2,35,18.3,93.1
44.3,93,286.9,-33.7,35,17.9,162.6
0,100.4,275.9,-35.2,53,17.6,131
0,85,156.3,-40.9,45,16.9,93.2
0,369.2,15571.9,-181.5,178,81.9,3436.9
0,130.9,792.8,-44.5,44,26,329.6
25.3,141.1,557,-44.6,33,21.5,218.8
0,155.1,931.8,-75.4,53,32.3,363.2
0,96.2,328.4,-46.3,195,13.7,162.4
44.3,82,44.5,-26.9,30,13.1,27.1
15.7,43.6,22.5,-10,22,5.4,16.5
0,213.1,3089.7,-111.1,99,48.7,1038.8
48.3,95.4,308.3,-31.3,91,17.1,174.7
9.3,87.7,168.9,-43,35,18.3,93.1
48.1,92.2,305.2,-34.5,129,17.1,174.7
39.7,50.3,15.1,-7.4,23,5.1,10.2
0,65.8,157.4,-24.6,72,11.8,97.1
48,34.2,19.1,-6.1,8,4.3,16.1
40.3,164.1,1093.2,-69.1,52,32.2,461.9
0,254.9,5460.6,-170.6,58,60.9,1534.5
0,83.3,304.1,-48.1,29,15.9,151.8
0,127.5,789.7,-56.2,31,25.8,362.4
0,132.1,1167.6,-58.3,55,31.3,472.8
11.1,56.9,51.5,-18.3,23,8.5,34.3
44.5,101.7,355.5,-43.5,122,20.8,169.1
15.3,64.9,52.9,-12.6,8,7.9,29.2
24.6,218.7,4686.7,-145,65,48.3,1550.5
44.5,81.8,45.7,-26.7,30,13.1,27.1
36.8,93,111.1,-29,36,15.6,65.4
45.6,88.8,289.3,-34.5,33,17.9,162.6
33.6,27.4,1,0.8,92,3.3,0.5
48,134.1,958.4,-57.6,46,29.4,424.9
0,45,31.5,-18.3,13,6.4,24.6
33.7,47.3,33,-12,36,7.1,24.9
37.3,143.2,526.5,-37.4,41,23.4,246.4
24.6,42,19.2,-10.9,7,6.3,16.6
0,69.4,65.8,-30.5,28,13.4,43
42.3,101.9,353.1,-43.4,123,20.8,169.1
44.7,98.3,354.8,-43,119,20.8,169.1
38.4,81.2,129.4,-27,15,13.2,80.6
36.4,66.5,86.5,-24.4,21,10.2,51.6
24.5,55.2,42.9,-7.3,11,7.9,31.7
43.2,146.2,789.9,-73.6,64,32,346.6
35.1,127.1,464,-59.3,64,27.3,206.1
30.6,90.7,137.9,-29.7,13,14.8,72.9
0,98.6,203.9,-41.2,22,18.2,120.9
27.8,233.1,2569,-102,68,54,887
0,147.5,1507.6,-112.1,244,32.8,595.9
0,78.6,205,-40,46,15.3,121
0,85.6,155.7,-38.2,84,14.9,81
0,142.5,808.6,-78.6,74,29.9,346.4
44.2,75,262.1,-29.8,95,15.6,152.1
0,126.5,1756.1,-60.5,86,29.6,744.9
43.6,52.1,46,-16.7,24,8.8,29.2
26.9,108.1,500.7,-45,20,21.6,267.7
47.9,77.9,48,-27.1,33,13.1,27.1
44.4,56.7,22.3,-14.5,29,8.2,18.5
47.2,117.1,543.8,-43.4,100,20.9,253.4
20.2,58.6,42,-14.1,125,8.8,31.8
0,99.9,241.5,-52.5,67,20,126.4
45,92.8,295.2,-27.7,82,15.6,152.1
30.2,67.5,103.7,-33.5,15,10.9,68.9
0,71.8,113.1,-17.4,25,12.7,69.4
41.1,153.2,962.8,-56.9,60,25.4,388.5
47.1,131.5,784.2,-49.7,58,27.2,353.9
0,106.6,606.5,-52.1,36,21.7,267.3
0,101.4,360.8,-39.9,28,21.8,164.1
46.5,73.9,90.1,-18.7,74,10.7,51.7
0,80,77.1,-20.4,75,12.6,45.8
41.6,225.6,5155.4,-115.5,150,54,1806.7
23.6,159.8,834.8,-19.3,61,22.3,205.9
0,218.6,3161.8,-113.4,102,46.7,1010.4
37,90.6,239.2,-28.2,20,15.4,125.2
31.7,104.4,494.9,-54.4,22,21.6,267.7
40.3,58.8,108.4,-18.9,19,10.2,76.4
30.1,112.9,506.6,-50.8,18,21.6,267.7
33.5,111.8,490.9,-51.4,20,21.6,267.7
31.2,111.4,286.2,-16.2,36,16.6,141.4
27.1,123.3,909,-58.9,47,25.4,388.5
44.2,91.8,141.3,-26.6,31,14.8,72.9
22,174.5,1619.3,-73.7,67,35.2,674.4
46.8,231.6,2793,-97.4,67,46.8,927.6
35.5,85.9,122.6,-28,89,13.6,61.9
0,83.9,235.3,-47.3,15,16.1,131.2
28.4,42.1,19.3,-10.6,7,6.3,16.6
30.7,240.8,2502.2,-95.3,94,53.7,835
24.2,72.6,43.7,-23.1,12,8.6,20.5
31.2,81.8,165.2,-28.3,77,14.2,84.4
18.3,86.3,252.2,-31.7,28,15.7,151.9
24.2,98.2,427.6,-30.1,97,15.9,218.1
46.7,57.2,22.8,-14.1,14,8.2,18.5
0,171.1,2199.6,-133.9,19,36.6,808.6
36,129.5,1429.4,-52.7,50,31.5,584.4
45.5,54.2,18,-14.3,19,7.6,14.7
24,60,70.4,-16.4,46,9.3,54.5
14.8,64.6,52.8,-22.5,9,7.9,29.2
37.8,72.3,40.6,-22,65,10.1,24.9
0,185.5,2364.3,-120,235,43.9,873.5
32.2,129.8,786.5,-54.5,63,27.2,353.9
40,59.6,112.5,-19.4,25,10.2,76.4
22.2,106.1,555.3,-39,62,22.4,219.2
42,228.9,5169,-109.9,130,54,1806.7
24.6,111.4,493.1,-43.1,26,21.6,267.7
44.1,89.2,384.6,-39.1,44,18,205.4
37.3,106.7,396.6,-39.3,26,19.3,211.8
39.3,168.2,1114,-69.9,44,32.2,461.9
15.5,110,684.9,-51.5,149,24.7,337.3
18.4,46.1,42.4,-21.6,10,7.9,31.7
22,57.6,75.1,-18.1,72,10.4,45.7
30.4,213.2,3421.3,-47.9,99,46.2,1156.3
0,110.5,409.3,-38.4,43,18.2,205.1
0,122.2,452.4,-66.1,53,21.7,181.3
49.5,71,78.6,-21.4,147,10.9,48.6
49.5,85.8,203.1,-34.2,79,16.3,116.2
46.2,229.3,2806.3,-95.9,73,46.8,927.6
41.6,67.1,66.1,-21.6,15,11.9,39.5
0,62.7,69.7,-38.5,58,9.8,42.6
0,147.6,397.4,-32.5,37,20.6,65.9
26.4,135,511.5,-42.5,40,23.4,246.4
43.5,209.5,1920.9,-69,74,40.3,674.6
0,83.9,118.5,-24.2,9,11.7,51.9
0,110.7,327.7,-59.6,29,19.3,163.7
25.2,78.9,117.1,-26.6,86,12.8,69.3
47.1,40.4,13.7,-9.7,33,5.1,10.2
0,138.1,1328.2,-81.7,38,29.6,542.4
43.6,48.9,31.5,-12.4,51,6.7,22.4
31.8,51.7,44,-12.3,23,8.8,29.2
46.1,95.4,270.2,-18.2,26,16.6,141.4
48.7,38.4,22.1,-5.6,5,4.3,16.1
40.1,98.5,328.3,-34.1,91,17.6,192.2
42.5,103.5,513.1,-26.4,18,18.8,259.9
0,123.9,1112.2,-75.5,40,31,531.8
0,84.7,165.4,-41.8,49,14.9,88.9
42.8,126.7,464.2,-59.2,55,27.3,206.1
39.4,78.8,128.4,-27,15,13.2,80.6
12.8,52.6,44,-18.4,21,8.5,34.3
25.9,73.2,140.1,-23.9,88,12,80.9
29.7,87.1,266.3,-23.6,27,15.6,136.4
36.7,141.7,610,-50.4,38,21.5,218.8
39.7,58.4,71.5,-16.2,45,9.3,54.5
46.2,57.1,17,-13.7,21,7.6,14.7
16.8,115.4,360,-41,26,23.4,158.1
0,91.3,243.3,-12.1,79,17.5,136
37,102.9,400.4,-32.6,17,19.6,188.5
35.1,63.2,74.4,-16,48,9.3,54.5
29.6,100.8,403.9,-31.1,22,19.6,188.5
23.8,57.3,77.1,-18.2,74,10.4,45.7
23,141,594.4,-66.4,156,30.5,261
0,75.8,89.1,-38.6,39,10.3,42.8
14.4,40,21.7,-11.1,20,5.4,16.5
0,64.8,87.6,-28,23,11.4,58.4
0,90,189.3,-33.5,22,15.6,106.8
22.6,164.3,1610,-75.3,66,35.2,674.4
12.7,88.3,168.2,-42.6,34,18.3,93.1
41.7,225.4,5158.5,-116.3,146,54,1806.7
41.3,88.9,205.2,-34.7,93,16.3,116.2
15.7,54.2,34.3,-7.7,45,5.1,13.2
40.1,117.5,601.9,-35,44,22.3,282.2
49.1,61.9,80.5,-19.4,157,10.9,48.6
0,105.1,324.3,-50.8,17,21,152.5
26,136.2,538.5,-31.4,62,22.4,219.2
44.4,93.6,134.6,-28.2,25,14.8,72.9
38.1,129.9,819.9,-53.4,41,27.2,353.9
0,190.4,2263.5,-97.4,79,39.7,873.5
0,146.7,1507.5,-87.5,73,39.8,607
15,39.7,21.8,-11.2,20,5.4,16.5
33,103.9,376.9,-30.5,36,19.6,199.7
42.8,129.9,743.3,-55.4,53,26.2,321.1
0,105.2,290.2,-37.9,31,20.6,141.8
21.7,35,12.9,-6.7,33,4,10
21.7,56.6,76.3,-18.7,76,10.4,45.7
0,115.2,613.2,-47,80,20.3,267.1
19.5,50.2,42.1,-11.7,13,7.9,31.7
11.3,90.5,172.1,-43,35,18.3,93.1
31.3,115.4,1149.3,-17.9,45,23.5,490.5
0,98.4,182.5,-55.8,101,20.5,93.9
19.3,118,335.6,-9.7,41,23.4,158.1
34.4,184.9,1607.4,-88.6,90,38.8,629
28.3,67.9,133,-15.5,20,9.6,80.4
35.2,81.2,167.5,-29.2,79,14.2,84.4
26.9,67.7,103.7,-32.7,15,10.9,68.9
24.9,136.9,509,-40.9,33,23.4,246.4
18.7,165.5,1403.9,-112,97,44.9,553.7
31.6,137.6,1421.1,-61.9,168,30.8,605.7
0,68.6,41.7,-28.9,15,10,26.9
0,216.3,3330.1,-110.7,101,41.5,926.2
39.8,88.6,281.1,-33.2,32,16.6,141.4
42.9,86.3,266.6,-27.2,35,16.6,141.4
31.9,23.2,0.5,-5.2,92,3.3,0.5
35.3,180.4,1971.1,-89.6,49,39,745.9
23.5,99.4,509.8,-43.3,59,22.4,219.2
